s.no,Transaction ID,Date/Time of Sale,Product Name,Sales Amount,Quantity Sold,Payment Method
1,100000,2024-01-01,Onion,116,1,Cash
2,100001,2024-01-01,Methi,47,4,Cash
3,100002,2024-01-01,Eggs,80,7,UPI
4,100003,2024-01-01,Bread,96,1,Cash
5,100004,2024-01-01,Curry Leaves,96,3,UPI
6,100005,2024-01-01,Coconut,108,3,UPI
7,100006,2024-01-01,Honey,61,1,UPI
8,100007,2024-01-01,Beans,103,1,UPI
9,100008,2024-01-01,Potato,77,2,Cash
10,100009,2024-01-01,Maida,60,3,Cash
11,100010,2024-01-01,Pickles,34,6,Cash
12,100011,2024-01-01,Coriander Powder,86,4,Cash
13,100012,2024-01-01,Biscuits,10,3,UPI
14,100013,2024-01-01,Butter,28,2,UPI
15,100014,2024-01-01,Onion,120,7,Cash
16,100015,2024-01-01,Cauliflower,37,4,UPI
17,100016,2024-01-01,Methi,119,3,Cash
18,100017,2024-01-01,Rice,90,1,UPI
19,100018,2024-01-01,Chili Powder,57,4,Cash
20,100019,2024-01-01,Mint Leaves,106,5,Cash
21,100020,2024-01-01,Oil,120,1,Cash
22,100021,2024-01-01,Eggs,134,5,Cash
23,100022,2024-01-01,Pickles,52,2,UPI
24,100023,2024-01-01,Curry Leaves,128,1,Cash
25,100024,2024-01-01,Spinach,95,2,UPI
26,100025,2024-01-01,Tea,130,5,UPI
27,100026,2024-01-01,Garam Masala,36,3,UPI
28,100027,2024-01-01,Lady Finger,51,1,Cash
29,100028,2024-01-01,Methi,138,5,Cash
30,100029,2024-01-02,Eggs,68,4,Cash
31,100030,2024-01-02,Tea,130,7,Cash
32,100031,2024-01-02,Jam,54,6,Cash
33,100032,2024-01-02,Rasam Powder,122,6,UPI
34,100033,2024-01-02,Coconut,78,6,UPI
35,100034,2024-01-02,Jam,43,7,UPI
36,100035,2024-01-02,Noodles,149,4,Cash
37,100036,2024-01-02,Cauliflower,117,4,UPI
38,100037,2024-01-02,Garam Masala,106,5,UPI
39,100038,2024-01-02,Turmeric Powder,81,5,Cash
40,100039,2024-01-02,Dal,80,7,UPI
41,100040,2024-01-02,Tomato,63,2,UPI
42,100041,2024-01-02,Bread,25,1,UPI
43,100042,2024-01-02,Honey,48,1,Cash
44,100043,2024-01-02,Butter,92,4,UPI
45,100044,2024-01-02,Potato,101,5,Cash
46,100045,2024-01-02,Brinjal,55,2,Cash
47,100046,2024-01-02,Curry Leaves,128,3,UPI
48,100047,2024-01-02,Coconut,77,2,UPI
49,100048,2024-01-02,Bread,49,6,Cash
50,100049,2024-01-03,Potato,118,4,UPI
51,100050,2024-01-03,Mint Leaves,64,1,Cash
52,100051,2024-01-03,Methi,59,1,Cash
53,100052,2024-01-03,Spinach,21,1,Cash
54,100053,2024-01-03,Onion,33,2,UPI
55,100054,2024-01-03,Noodles,113,7,UPI
56,100055,2024-01-03,Soap,103,6,UPI
57,100056,2024-01-03,Salt,10,2,UPI
58,100057,2024-01-03,Turmeric Powder,142,4,UPI
59,100058,2024-01-03,Rice,90,3,Cash
60,100059,2024-01-03,Maida,142,5,UPI
61,100060,2024-01-03,Salt,10,7,UPI
62,100061,2024-01-03,Coriander Powder,135,3,Cash
63,100062,2024-01-03,Chili Powder,72,7,UPI
64,100063,2024-01-03,Chili Powder,103,7,UPI
65,100064,2024-01-03,Jam,73,6,Cash
66,100065,2024-01-03,Toothpaste,102,6,Cash
67,100066,2024-01-03,Cauliflower,110,2,Cash
68,100067,2024-01-03,Lemon,52,4,UPI
69,100068,2024-01-03,Cauliflower,69,2,Cash
70,100069,2024-01-04,Dal,80,3,UPI
71,100070,2024-01-04,Coriander Powder,120,3,Cash
72,100071,2024-01-04,Beans,133,6,UPI
73,100072,2024-01-04,Garam Masala,37,4,UPI
74,100073,2024-01-04,Beans,85,1,Cash
75,100074,2024-01-04,Rice,90,1,Cash
76,100075,2024-01-04,Jam,129,6,UPI
77,100076,2024-01-04,Pickles,128,4,UPI
78,100077,2024-01-04,Cauliflower,62,6,UPI
79,100078,2024-01-04,Rasam Powder,46,4,UPI
80,100079,2024-01-04,Coriander Leaves,58,6,Cash
81,100080,2024-01-04,Salt,10,4,Cash
82,100081,2024-01-04,Maida,55,1,Cash
83,100082,2024-01-04,Cooking Oil,125,7,UPI
84,100083,2024-01-04,Noodles,26,2,UPI
85,100084,2024-01-04,Potato,40,6,UPI
86,100085,2024-01-04,Mint Leaves,29,7,Cash
87,100086,2024-01-04,Methi,111,7,Cash
88,100087,2024-01-04,Beans,81,3,Cash
89,100088,2024-01-04,Pickles,101,2,Cash
90,100089,2024-01-04,Coriander Leaves,55,1,Cash
91,100090,2024-01-04,Rice,90,4,Cash
92,100091,2024-01-04,Butter,81,2,Cash
93,100092,2024-01-04,Salt,10,1,Cash
94,100093,2024-01-04,Salt,10,2,Cash
95,100094,2024-01-04,Curry Leaves,139,5,Cash
96,100095,2024-01-04,Coriander Powder,142,3,Cash
97,100096,2024-01-04,Onion,58,4,UPI
98,100097,2024-01-04,Onion,38,6,Cash
99,100098,2024-01-04,Onion,30,3,Cash
100,100099,2024-01-04,Cauliflower,122,7,Cash
101,100100,2024-01-04,Jam,49,7,Cash
102,100101,2024-01-04,Noodles,21,4,Cash
103,100102,2024-01-04,Sambar Powder,38,2,UPI
104,100103,2024-01-04,Tea,130,5,Cash
105,100104,2024-01-04,Ghee,135,1,Cash
106,100105,2024-01-04,Potato,114,5,UPI
107,100106,2024-01-04,Lady Finger,94,1,Cash
108,100107,2024-01-04,Coffee,130,5,Cash
109,100108,2024-01-04,Rasam Powder,123,5,UPI
110,100109,2024-01-04,Brinjal,79,2,Cash
111,100110,2024-01-05,Coffee,130,6,UPI
112,100111,2024-01-05,Curry Leaves,142,4,Cash
113,100112,2024-01-05,Curry Leaves,43,4,Cash
114,100113,2024-01-05,Dal,80,2,UPI
115,100114,2024-01-05,Beans,90,7,UPI
116,100115,2024-01-05,Rasam Powder,39,2,Cash
117,100116,2024-01-05,Lady Finger,32,7,Cash
118,100117,2024-01-05,Spinach,146,6,UPI
119,100118,2024-01-05,Butter,118,2,UPI
120,100119,2024-01-05,Wheat,100,5,Cash
121,100120,2024-01-05,Biscuits,10,5,Cash
122,100121,2024-01-05,Bread,131,7,Cash
123,100122,2024-01-05,Salt,10,3,UPI
124,100123,2024-01-06,Bread,69,2,UPI
125,100124,2024-01-06,Onion,110,4,Cash
126,100125,2024-01-06,Chili Powder,147,6,UPI
127,100126,2024-01-06,Jam,86,7,Cash
128,100127,2024-01-06,Maida,130,3,Cash
129,100128,2024-01-06,Coconut,90,3,UPI
130,100129,2024-01-06,Tomato,125,1,Cash
131,100130,2024-01-06,Bread,96,4,UPI
132,100131,2024-01-06,Coriander Leaves,146,5,UPI
133,100132,2024-01-06,Tomato,94,7,Cash
134,100133,2024-01-06,Mint Leaves,68,4,UPI
135,100134,2024-01-06,Lemon,128,2,Cash
136,100135,2024-01-06,Butter,79,1,UPI
137,100136,2024-01-06,Tomato,76,7,UPI
138,100137,2024-01-06,Sugar,130,3,UPI
139,100138,2024-01-06,Butter,30,1,UPI
140,100139,2024-01-06,Soap,44,5,Cash
141,100140,2024-01-07,Curry Leaves,43,3,UPI
142,100141,2024-01-07,Noodles,73,2,Cash
143,100142,2024-01-07,Pickles,105,1,UPI
144,100143,2024-01-07,Sambar Powder,111,2,Cash
145,100144,2024-01-07,Coffee,130,7,Cash
146,100145,2024-01-07,Potato,105,2,UPI
147,100146,2024-01-07,Spinach,47,7,Cash
148,100147,2024-01-07,Methi,95,3,UPI
149,100148,2024-01-07,Eggs,142,6,UPI
150,100149,2024-01-07,Jam,36,5,UPI
151,100150,2024-01-07,Tomato,133,4,Cash
152,100151,2024-01-07,Honey,130,3,UPI
153,100152,2024-01-07,Pickles,132,5,Cash
154,100153,2024-01-07,Soap,92,6,Cash
155,100154,2024-01-07,Lady Finger,44,7,Cash
156,100155,2024-01-07,Onion,55,1,UPI
157,100156,2024-01-07,Beans,149,5,UPI
158,100157,2024-01-07,Jam,72,3,Cash
159,100158,2024-01-07,Mint Leaves,59,6,UPI
160,100159,2024-01-07,Turmeric Powder,98,6,UPI
161,100160,2024-01-07,Oil,120,5,UPI
162,100161,2024-01-07,Salt,10,1,Cash
163,100162,2024-01-07,Chili Powder,95,4,Cash
164,100163,2024-01-07,Atta,125,6,UPI
165,100164,2024-01-07,Ghee,145,5,UPI
166,100165,2024-01-07,Tea,130,7,Cash
167,100166,2024-01-07,Potato,120,7,UPI
168,100167,2024-01-07,Spinach,96,7,UPI
169,100168,2024-01-07,Soap,60,6,Cash
170,100169,2024-01-07,Curry Leaves,112,5,UPI
171,100170,2024-01-07,Biscuits,10,6,UPI
172,100171,2024-01-07,Rasam Powder,67,2,Cash
173,100172,2024-01-07,Beans,130,3,Cash
174,100173,2024-01-07,Lady Finger,137,3,Cash
175,100174,2024-01-07,Brocolli,122,6,UPI
176,100175,2024-01-07,Coriander Powder,126,1,Cash
177,100176,2024-01-08,Garam Masala,44,7,UPI
178,100177,2024-01-08,Dal,80,5,UPI
179,100178,2024-01-08,Soap,118,5,Cash
180,100179,2024-01-08,Brinjal,130,7,UPI
181,100180,2024-01-08,Brinjal,136,3,Cash
182,100181,2024-01-08,Sambar Powder,124,5,UPI
183,100182,2024-01-08,Biscuits,10,6,Cash
184,100183,2024-01-08,Coffee,130,3,Cash
185,100184,2024-01-08,Tea,130,3,Cash
186,100185,2024-01-08,Butter,90,3,Cash
187,100186,2024-01-09,Coriander Leaves,91,2,Cash
188,100187,2024-01-09,Pickles,69,5,UPI
189,100188,2024-01-09,Jam,142,7,Cash
190,100189,2024-01-09,Lemon,45,3,Cash
191,100190,2024-01-09,Jam,129,6,UPI
